iter	RMSE
0	0.8919046846
1	0.8779973606
2	0.8617184952
3	0.8456848854
4	0.8329589916
5	0.8173509672
6	0.8052107273
7	0.7883400769
8	0.774137111
9	0.7619960581
10	0.7482519857
11	0.7346953478
12	0.7210150545
13	0.7062829791
14	0.6926394859
15	0.6816401136
16	0.6678927531
17	0.6572164529
18	0.6440998965
19	0.6352692176
20	0.6242736069
21	0.6141477628
22	0.6060011608
23	0.5946059141
24	0.5851271419
25	0.5744088376
26	0.5641071199
27	0.5574510775
28	0.5488126264
29	0.5392791635
30	0.5275085545
31	0.5174066495
32	0.5105831023
33	0.5029092258
34	0.4942057101
35	0.4851434203
36	0.4761564228
37	0.4678274705
38	0.4615062636
39	0.453821078
40	0.4465191323
41	0.4400383381
42	0.4360384541
43	0.4287603905
44	0.4225531176
45	0.4163894853
46	0.4108277231
47	0.4054007243
48	0.3987945573
49	0.3924246521
50	0.3867712886
51	0.3802364198
52	0.3743340403
53	0.3687157976
54	0.3630343776
55	0.3581698452
56	0.3522652968
57	0.3463191202
58	0.3417152272
59	0.3362417497
60	0.3324543789
61	0.3283931825
62	0.323852025
63	0.3189541431
64	0.3138620309
65	0.3089490749
66	0.304567467
67	0.3009236068
68	0.2967870934
69	0.2948965714
70	0.2910764895
71	0.2865585743
72	0.2841130036
73	0.2799840163
74	0.277997653
75	0.2736961166
76	0.2694180604
77	0.2667937082
78	0.2629909945
79	0.2582198153
80	0.2554205324
81	0.2514649743
82	0.2480923901
83	0.246061359
84	0.2423281538
85	0.2392483422
86	0.2360737761
87	0.2333190909
88	0.2301980097
89	0.2275332506
90	0.2250850902
91	0.2221572361
92	0.2188394112
93	0.21684099
94	0.2138693572
95	0.2112656725
96	0.2089014211
97	0.2062924184
98	0.2039477697
99	0.202097681
100	0.1993873558
101	0.1963420926
102	0.1933361551
103	0.1907385872
104	0.1892323183
105	0.1879905343
106	0.1853430924
107	0.1833439553
108	0.1807384604
109	0.178229174
110	0.1766850926
111	0.1739876535
112	0.171917117
113	0.1699625789
114	0.1679312461
115	0.1661328392
116	0.1645070712
117	0.1636839367
118	0.1616336939
119	0.1592750775
120	0.1575726099
121	0.1557952144
122	0.1539021016
123	0.1516771781
124	0.1498175913
125	0.1480990793
126	0.1468299821
127	0.1451469495
128	0.1437416823
129	0.1414882208
130	0.1402606524
131	0.1388628075
132	0.1370108547
133	0.1357563966
134	0.1340986214
135	0.133187076
136	0.132099471
137	0.1305868918
138	0.1296061847
139	0.1288344934
140	0.1274687051
141	0.1261432008
142	0.1244510255
143	0.1233152324
144	0.1221436179
145	0.1216048926
146	0.1202543359
147	0.1193186321
148	0.1182013008
149	0.1170774176
150	0.1161079625
151	0.1153503525
152	0.1141391823
153	0.1128840945
154	0.1117171333
155	0.1103165429
156	0.1093078304
157	0.1085168622
158	0.1076520476
159	0.1067247695
160	0.1056782825
161	0.1048633818
162	0.103937858
163	0.1028889638
164	0.1023206259
165	0.1016635405
166	0.10056691
167	0.09985053978
168	0.09902213567
169	0.09804034737
170	0.0971816084
171	0.09639914015
172	0.09562567606
173	0.09468655354
174	0.09356112463
175	0.09261325896
176	0.0920775536
177	0.09147894661
178	0.09062452623
179	0.08994755825
180	0.08945209989
181	0.08864901084
182	0.08817403339
183	0.08764289074
184	0.08715149128
185	0.08626220367
186	0.08541362952
187	0.08468259258
188	0.08414203879
189	0.08370445009
190	0.0832421377
191	0.0824160274
192	0.08181514504
193	0.08125417705
194	0.08078036901
195	0.08005458774
196	0.07944379578
197	0.07902081639
198	0.07828294414
199	0.07760430997
200	0.07699130864
201	0.07659145705
202	0.0762288062
203	0.07564125685
204	0.07522707339
205	0.07455781387
206	0.07416173865
207	0.07357247314
208	0.07304188261
209	0.07268881572
210	0.07210027727
211	0.07149639275
212	0.07116663878
213	0.07082689041
214	0.0705136141
215	0.06999673408
216	0.06946077954
217	0.06915066978
218	0.06879911974
219	0.06850587746
220	0.06796360844
221	0.06743702542
222	0.06717178588
223	0.06686321476
224	0.06648140213
225	0.06600413521
226	0.06573739227
227	0.06547026454
228	0.0651700138
229	0.06488755546
230	0.06461190527
231	0.06414253184
232	0.06388592876
233	0.06361693683
234	0.06336356411
235	0.06312259275
236	0.0628715615
237	0.06264601321
238	0.06243234119
239	0.06219760815
240	0.06196520914
241	0.06173933719
242	0.0612921573
243	0.06094853222
244	0.06071589219
245	0.06032591785
246	0.06008999016
247	0.05988149021
248	0.05967475934
249	0.05928897899
250	0.05908625658
251	0.05886007612
252	0.05863766596
253	0.0584446132
254	0.05825627655
255	0.0580410157
256	0.05785532763
257	0.05767398414
258	0.05746770835
259	0.05729330174
260	0.0571172222
261	0.05692011377
262	0.05675070159
263	0.05658121482
264	0.05641754709
265	0.05623598954
266	0.0560857024
267	0.055910819
268	0.05577569758
269	0.05564716774
270	0.05549103082
271	0.05536127761
272	0.05520911705
273	0.05503541615
274	0.05488714339
275	0.05472156241
276	0.0545770228
277	0.05443399929
278	0.05429091945
279	0.05412583406
280	0.05400633238
281	0.05384992174
282	0.05371576891
283	0.05358346654
284	0.05323339027
285	0.05308655673
286	0.0529360395
287	0.05279338682
288	0.05267032522
289	0.05252467317
290	0.05240263558
291	0.05226513925
292	0.05212002564
293	0.05182148533
294	0.05170690714
295	0.05159337533
296	0.05148232972
297	0.0513503014
298	0.05123802643
299	0.05093879454
300	0.05081611972
301	0.05069040069
302	0.05043177042
303	0.05013074414
304	0.05001523333
305	0.0499137394
306	0.04960928375
307	0.04951406096
308	0.04940428371
309	0.04929654843
310	0.04920325893
311	0.04892178223
312	0.04881314172
313	0.04870386954
314	0.04860215439
315	0.04834169564
316	0.04824235593
317	0.0479691152
318	0.04788347783
319	0.04762024884
320	0.04738992739
321	0.04716006206
322	0.04693170841
323	0.04669674745
324	0.04661884826
325	0.04629309829
326	0.0461083045
327	0.04602055851
328	0.04594730939
329	0.04586440501
330	0.04574234115
331	0.04565680786
332	0.04557729664
